,PC1,PC2
fixation_count_z,0.43951830983519447,-0.2557058845349772
mean_fixation_duration_z,0.3768832474226476,0.5015820514664141
mean_saccade_duration_z,0.32944653634966886,0.6273996471860797
saccade_count_z,0.4053507261572914,-0.445270844080486
total_fixation_duration_z,0.4497177050385861,0.05817558212718287
total_saccade_duration_z,0.4355369414843745,-0.2962247559332726
